ID_Veiculo,Marca,Modelo,Ano,Regiao,Tipo_Veiculo,Capacidade_Bateria_kWh,Saude_Bateria_%,Autonomia_km,Potencia_Carga_kW,Tempo_Carga_hr,Ciclos_Carga,Consumo_Energia_kWh_por_100km,Quilometragem_km,Velocidade_Media_kmh,Velocidade_Max_kmh,Aceleracao_0_100_kmh_seg,Temperatura_C,Tipo_Uso,CO2_Economizado_ton,Custo_Manutencao_USD,Custo_Seguro_USD,Custo_Eletricidade_USD_por_kWh,Custo_Mensal_Carga_USD,Valor_Revenda_USD
50,Volkswagen,ID.4,2021,Oceania,Caminhonete,95.9,94.7,552.0,11.0,9.6,692,21.2,49283.0,35.6,84.1,7.0,21.3,Comercial,8.84,847.04,1355.24,0.22,68.84,26539.05
51,BMW,i4,2022,Europa,Caminhonete,48.6,92.8,244.0,22.0,2.7,279,13.2,5620.0,55.2,151.9,8.2,20.0,Frota,0.72,898.72,1522.32,0.35,31.12,18395.22
52,Tesla,Model 3,2018,Ásia,SUV,109.1,89.6,531.0,11.0,10.9,741,16.7,41408.0,59.0,151.5,8.6,-6.2,Frota,8.57,620.52,1727.36,0.18,48.19,17055.75
53,Audi,e-tron,2021,América do Norte,Sedã,64.9,82.8,355.0,11.0,6.1,452,17.5,55585.0,44.9,105.7,4.2,18.3,Comercial,9.51,617.16,511.99,0.22,39.45,16482.51
54,Nissan,Leaf,2018,Europa,SUV,84.5,91.0,441.0,7.4,11.2,1261,16.6,105301.0,49.6,106.6,3.6,24.7,Pessoal,20.96,775.85,1281.78,0.12,22.14,10609.5
55,Volkswagen,ID.4,2018,América do Norte,Hatchback,73.1,95.4,424.0,100.0,0.9,784,23.8,122774.0,61.2,151.5,8.0,10.8,Comercial,21.94,402.68,904.1,0.28,83.96,9050.27
56,Audi,e-tron,2023,Oceania,Sedã,74.1,79.1,433.0,100.0,0.7,199,16.8,16585.0,80.5,228.8,6.1,26.7,Comercial,2.1,910.66,1367.21,0.15,24.5,24795.13
57,Nissan,Leaf,2019,Ásia,Hatchback,36.5,94.8,202.0,150.0,0.3,597,19.4,31117.0,79.5,212.8,5.6,21.6,Comercial,5.83,561.11,637.78,0.35,45.82,7114.4
58,Chevrolet,Bolt EV,2022,América do Sul,SUV,55.5,94.4,328.0,50.0,1.3,347,18.5,24103.0,80.0,218.2,6.7,14.0,Pessoal,4.7,853.68,1220.41,0.15,20.05,19260.76
59,Chevrolet,Bolt EV,2021,América do Sul,SUV,88.9,89.3,498.0,50.0,1.6,210,17.1,58276.0,49.8,135.3,6.6,23.4,Pessoal,12.54,955.17,447.17,0.12,23.15,24644.9
60,Toyota,Prius Prime,2021,América do Norte,SUV,58.1,82.7,294.0,100.0,0.6,613,15.9,19958.0,61.7,176.8,7.9,14.3,Comercial,4.14,404.98,1217.39,0.28,20.83,16357.84
61,Audi,Q4 e-tron,2023,Europa,Sedã,67.8,94.5,366.0,150.0,0.5,88,24.2,5616.0,83.5,230.3,8.2,20.8,Comercial,1.21,923.02,1202.23,0.28,53.72,28546.75
62,Chevrolet,Bolt EUV,2018,América do Norte,Hatchback,34.1,91.1,190.0,250.0,0.3,983,17.3,74851.0,38.5,98.0,9.5,15.4,Frota,15.13,200.0,930.98,0.22,17.11,4845.54
63,Nissan,Leaf,2022,América do Norte,Crossover,54.2,78.9,323.0,100.0,0.5,68,20.6,34524.0,58.1,138.2,6.4,23.5,Pessoal,5.71,976.61,1042.45,0.18,28.31,15579.83
64,Toyota,Prius Prime,2023,América do Norte,Hatchback,87.5,84.1,491.0,150.0,0.6,134,18.0,500.0,68.3,188.7,9.5,31.5,Pessoal,0.08,980.78,1052.06,0.22,64.97,31873.01
65,Nissan,Ariya,2022,Europa,Sedã,39.3,93.6,205.0,150.0,0.3,291,16.6,25958.0,39.4,70.9,8.5,13.6,Pessoal,5.44,1001.1,580.16,0.15,14.25,13574.08
66,Toyota,Prius Prime,2023,América do Norte,Crossover,79.3,87.9,474.0,150.0,0.7,87,18.3,19321.0,71.4,205.6,9.2,27.0,Comercial,3.25,903.13,681.42,0.28,72.12,31850.19
67,Audi,e-tron,2018,América do Norte,Hatchback,68.6,95.7,390.0,150.0,0.5,756,18.9,125768.0,88.2,238.8,4.2,15.0,Pessoal,24.64,644.55,1275.26,0.18,33.17,7837.93
68,Volkswagen,ID.4,2021,América do Norte,Crossover,60.3,84.3,378.0,7.4,7.3,452,16.6,19906.0,83.4,249.5,6.7,15.1,Pessoal,4.6,655.2,1627.26,0.22,29.67,15736.05
69,Ford,Mustang Mach-E,2020,América do Norte,Sedã,59.4,79.0,329.0,7.4,9.3,683,15.7,72398.0,62.3,134.8,11.7,14.0,Frota,11.69,615.16,1514.7,0.18,33.37,11284.31
70,Kia,EV6,2022,Oceania,SUV,55.2,100.0,275.0,100.0,0.6,280,19.4,46562.0,77.2,219.9,3.6,1.1,Pessoal,9.4,1108.92,400.0,0.35,45.74,18722.2
71,Volkswagen,ID.3,2023,Ásia,SUV,57.0,73.6,347.0,150.0,0.4,222,18.3,20056.0,39.3,106.1,11.5,23.0,Comercial,3.13,1307.21,1696.01,0.35,62.73,18518.12
72,Hyundai,Kona Electric,2020,Oceania,Hatchback,83.6,83.0,436.0,22.0,3.9,842,16.0,46270.0,69.2,160.4,11.4,20.8,Pessoal,9.14,825.33,1720.41,0.15,21.2,16744.08
73,Nissan,Ariya,2022,Europa,SUV,56.4,89.2,319.0,150.0,0.4,262,15.2,500.0,60.4,148.5,8.8,19.6,Comercial,0.11,503.55,901.2,0.18,16.71,21099.85
74,Hyundai,Kona Electric,2020,América do Norte,Sedã,101.2,94.9,566.0,22.0,4.4,178,19.0,66978.0,62.8,153.1,3.6,33.5,Pessoal,14.75,716.58,908.9,0.35,122.25,26297.11
75,Volkswagen,ID.4,2022,Ásia,Sedã,71.0,92.2,392.0,7.4,10.5,201,12.2,56309.0,66.6,159.2,6.5,34.6,Frota,9.49,1093.7,992.93,0.28,36.37,23289.72
76,Toyota,bZ4X,2021,Europa,Hatchback,53.5,100.0,290.0,150.0,0.5,10,17.2,65602.0,70.8,148.4,9.0,31.1,Frota,14.91,966.18,1332.7,0.35,41.7,15404.44
77,Kia,EV6,2023,América do Norte,Hatchback,84.5,86.1,395.0,11.0,7.6,121,18.4,21288.0,43.2,123.2,3.7,15.6,Pessoal,3.69,810.18,1078.62,0.18,31.47,32798.21
78,Kia,Niro EV,2022,América do Norte,SUV,77.5,80.0,387.0,100.0,1.0,453,23.2,32808.0,50.3,111.5,8.7,15.1,Pessoal,8.16,720.71,1355.65,0.18,32.04,22616.51
79,Tesla,Model 3,2021,América do Norte,Sedã,31.9,85.2,193.0,150.0,0.3,558,18.0,67420.0,61.2,133.7,7.3,7.8,Pessoal,12.2,293.47,679.08,0.22,16.96,7698.18
80,Kia,EV6,2019,América do Norte,Hatchback,44.3,84.4,253.0,50.0,1.0,694,17.1,87635.0,38.3,109.5,5.6,18.6,Comercial,17.52,735.54,771.3,0.18,21.13,7234.63
81,Ford,F-150 Lightning,2019,Europa,Crossover,62.7,86.5,405.0,22.0,3.0,424,18.9,2238.0,67.1,139.5,4.2,18.1,Frota,0.45,683.71,849.76,0.18,34.76,11638.2
82,Kia,Niro EV,2020,Ásia,Hatchback,33.3,79.1,166.0,250.0,0.3,565,15.9,89719.0,77.5,186.7,10.6,23.4,Pessoal,13.21,673.64,873.26,0.15,11.39,5994.48
83,Volkswagen,ID.4,2020,América do Norte,Crossover,106.8,93.3,586.0,250.0,0.5,1101,17.3,31296.0,85.9,189.1,8.9,7.3,Comercial,6.93,884.49,1370.95,0.18,20.61,25871.36
84,Tesla,Model 3,2023,América do Norte,Caminhonete,81.4,90.0,495.0,150.0,0.6,232,18.1,15560.0,66.4,198.6,6.6,14.3,Pessoal,2.9,1325.14,1298.3,0.22,51.0,31790.0
85,Volkswagen,ID.4,2022,Ásia,Hatchback,64.7,76.9,338.0,11.0,5.0,246,19.9,42320.0,93.3,265.3,7.1,1.1,Comercial,6.91,805.94,1463.34,0.22,42.76,16601.63
86,Volkswagen,ID.4,2021,América do Norte,SUV,58.1,94.7,305.0,22.0,3.6,103,16.0,26271.0,64.5,145.4,6.3,10.8,Frota,4.14,979.49,1632.66,0.28,19.09,17002.39
87,BMW,i4,2019,Europa,Hatchback,53.0,80.5,284.0,11.0,4.4,1402,18.0,33939.0,46.1,101.5,2.5,26.9,Pessoal,5.5,781.79,1357.74,0.35,35.48,9067.02
88,Tesla,Model 3,2023,América do Sul,Hatchback,25.7,77.5,136.0,250.0,0.3,84,12.6,18976.0,64.2,175.3,10.2,7.0,Pessoal,3.37,781.68,487.1,0.15,4.57,8827.1
89,Volkswagen,ID.3,2022,América do Norte,Hatchback,30.3,87.7,175.0,100.0,0.3,337,19.6,11441.0,61.9,162.8,7.5,35.4,Pessoal,1.69,1142.23,1032.86,0.12,12.96,10283.48
90,BMW,iX,2018,América do Norte,Sedã,103.0,72.9,475.0,250.0,0.4,176,17.3,80360.0,72.7,174.0,9.4,28.1,Pessoal,12.5,912.11,1086.84,0.28,58.35,12270.67
91,BMW,i4,2022,Europa,Sedã,96.5,91.7,610.0,100.0,1.0,223,23.7,48806.0,69.1,163.5,5.9,23.0,Pessoal,6.25,1033.69,1303.14,0.18,66.89,30191.25
92,Tesla,Model S,2022,Europa,Sedã,53.5,64.3,269.0,100.0,0.6,58,19.1,57108.0,68.0,165.2,7.2,31.3,Pessoal,8.89,1171.96,822.58,0.35,55.16,12599.57
93,Hyundai,Ioniq 5,2019,Europa,Sedã,83.2,78.8,370.0,7.4,12.7,279,15.4,765.0,79.5,220.3,7.8,16.8,Pessoal,0.17,908.87,1791.99,0.15,20.89,15993.84
94,Toyota,bZ4X,2021,Ásia,SUV,75.1,99.6,413.0,250.0,0.3,215,14.7,39532.0,58.6,174.1,9.6,10.6,Pessoal,8.54,873.37,1039.46,0.28,36.97,23771.39
95,Ford,F-150 Lightning,2021,América do Norte,Caminhonete,77.5,81.5,412.0,250.0,0.4,495,20.0,76751.0,73.1,222.7,11.5,17.0,Pessoal,14.44,1021.08,1067.69,0.22,46.87,18415.2
96,Toyota,bZ4X,2019,Europa,SUV,36.5,82.9,198.0,11.0,3.2,634,23.4,58412.0,69.2,157.8,6.1,0.8,Pessoal,14.21,605.34,1121.77,0.15,18.87,6335.86
97,Kia,EV6,2023,Europa,SUV,28.8,97.2,163.0,150.0,0.3,314,22.5,21599.0,66.7,167.9,6.1,29.9,Pessoal,4.67,610.48,993.81,0.15,10.64,11486.91
98,Ford,F-150 Lightning,2023,América do Norte,Sedã,88.7,80.7,516.0,50.0,1.8,208,14.4,22227.0,64.0,185.8,6.4,14.5,Comercial,4.29,572.37,505.91,0.18,43.91,32257.64
99,Kia,Niro EV,2022,Ásia,Hatchback,25.4,93.1,161.0,50.0,0.5,420,18.6,19817.0,45.9,102.8,5.5,10.4,Comercial,3.89,652.82,1696.43,0.15,6.98,9026.89
100,Volkswagen,ID.3,2021,América do Norte,Sedã,62.0,96.4,320.0,100.0,0.7,500,21.4,55715.0,61.2,140.5,13.6,11.6,Pessoal,10.18,443.93,946.11,0.35,63.83,17070.9
101,Nissan,Leaf,2021,Europa,SUV,57.6,90.8,339.0,50.0,1.2,455,14.0,57237.0,62.2,170.4,2.8,18.2,Pessoal,8.14,303.08,1451.93,0.35,55.43,16782.66
102,Tesla,Model Y,2022,América do Norte,Hatchback,55.8,75.4,327.0,22.0,2.8,425,21.1,45170.0,54.2,127.9,13.7,19.2,Comercial,7.77,553.46,1029.85,0.15,26.5,15073.51
103,Ford,F-150 Lightning,2022,Europa,Sedã,71.3,82.2,298.0,11.0,6.4,10,15.9,2914.0,44.6,91.8,8.6,16.5,Frota,0.3,200.0,948.35,0.12,8.37,23134.88
104,Ford,Mustang Mach-E,2018,Europa,Crossover,51.4,100.0,261.0,11.0,5.7,551,17.4,154642.0,56.7,127.7,6.8,16.5,Pessoal,22.76,885.17,702.02,0.18,26.51,5588.34
105,Volkswagen,ID.3,2021,Ásia,Crossover,72.9,83.1,354.0,11.0,7.8,127,18.8,62171.0,57.9,162.0,4.9,23.5,Pessoal,13.78,829.63,487.4,0.15,22.56,18067.36
106,Hyundai,Kona Electric,2023,América do Norte,Sedã,67.8,100.0,388.0,22.0,3.4,10,21.2,5580.0,44.9,115.6,6.9,7.0,Pessoal,1.02,1022.34,1021.87,0.15,35.66,32083.96
107,BMW,iX,2021,Europa,Sedã,107.0,100.0,607.0,150.0,0.8,246,22.6,41805.0,44.9,91.2,5.6,20.3,Pessoal,6.19,520.25,1004.92,0.12,44.6,32482.23
108,Volkswagen,ID.4,2018,Europa,Hatchback,37.3,91.2,212.0,7.4,5.5,340,17.0,131892.0,33.6,77.9,10.5,14.8,Pessoal,25.83,949.68,1774.49,0.12,10.78,4217.67
109,Chevrolet,Bolt EV,2023,Ásia,SUV,65.6,89.4,351.0,22.0,3.6,212,16.6,6024.0,69.4,211.4,8.6,-2.0,Pessoal,1.19,557.43,1228.71,0.22,18.85,26667.3
110,BMW,i3,2020,Europa,Sedã,73.6,83.3,397.0,11.0,7.8,557,16.4,29182.0,79.7,197.6,11.2,7.2,Comercial,6.6,1032.24,1656.62,0.18,31.68,15177.57
111,Tesla,Model 3,2020,Ásia,Sedã,59.9,86.3,329.0,11.0,6.6,10,20.3,60620.0,65.2,158.2,6.3,10.1,Pessoal,14.15,253.43,599.24,0.12,22.99,13475.98
112,BMW,i4,2019,Ásia,Crossover,38.3,81.5,203.0,250.0,0.3,771,21.0,56823.0,58.9,147.4,7.4,34.7,Pessoal,11.56,728.81,1220.74,0.15,10.87,6408.2
113,Hyundai,Ioniq 5,2021,América do Sul,SUV,90.1,86.5,531.0,11.0,9.4,197,20.7,51272.0,44.1,113.0,6.8,22.5,Pessoal,6.9,680.27,1420.28,0.12,44.02,24018.63
114,BMW,iX,2022,Europa,Hatchback,71.7,76.1,356.0,150.0,0.6,274,18.8,43716.0,31.9,76.0,6.1,20.7,Pessoal,10.86,1039.09,1244.9,0.28,43.23,22049.39
115,Tesla,Model S,2021,Europa,Hatchback,39.7,75.7,203.0,50.0,0.8,478,19.1,51806.0,64.5,187.2,4.4,13.1,Pessoal,11.43,1034.6,1260.06,0.22,29.07,9328.52
116,Hyundai,Kona Electric,2020,Ásia,Sedã,73.8,97.4,410.0,7.4,10.0,333,17.3,59657.0,74.2,175.0,8.8,12.9,Pessoal,12.26,1165.65,1100.22,0.22,44.22,17011.73
117,Toyota,bZ4X,2023,Oceania,SUV,99.0,74.1,526.0,22.0,5.1,147,17.6,21896.0,52.5,146.9,7.9,6.2,Frota,3.93,200.0,722.27,0.35,81.39,31747.17
118,Ford,Mustang Mach-E,2023,América do Sul,Crossover,64.3,94.1,318.0,11.0,5.7,160,20.6,14126.0,80.8,246.2,6.9,14.7,Pessoal,1.89,1248.86,653.41,0.18,30.1,27441.58
119,Ford,Mustang Mach-E,2023,Europa,Sedã,65.0,71.8,375.0,250.0,0.3,122,18.8,8786.0,54.7,142.9,8.3,31.8,Comercial,1.43,522.31,1482.67,0.22,46.41,18549.58
120,Kia,Niro EV,2020,América do Norte,Hatchback,96.4,92.0,503.0,250.0,0.5,341,16.6,98509.0,81.3,177.7,6.0,4.8,Frota,17.58,1312.43,935.75,0.18,49.06,20496.77
121,Toyota,Prius Prime,2021,Europa,SUV,45.6,85.3,232.0,100.0,0.6,400,21.3,500.0,53.3,136.3,7.0,12.1,Pessoal,0.08,1467.11,1029.46,0.28,27.87,12139.11
122,Toyota,bZ4X,2023,Ásia,Sedã,99.6,97.6,539.0,7.4,13.2,124,16.2,15534.0,30.0,69.9,9.2,27.3,Pessoal,3.31,1157.32,935.67,0.35,67.26,42437.69
123,BMW,iX,2022,Europa,Sedã,84.5,84.3,427.0,250.0,0.3,308,18.4,23943.0,74.4,206.0,9.5,27.2,Pessoal,4.25,542.81,842.63,0.15,39.23,28931.82
124,Ford,Mustang Mach-E,2018,Europa,SUV,46.5,70.9,255.0,100.0,0.5,694,14.3,43850.0,51.2,131.2,10.8,10.8,Frota,6.87,426.66,614.98,0.28,21.02,5296.3
125,Tesla,Model Y,2018,Ásia,SUV,51.6,85.5,275.0,7.4,8.5,323,15.2,104929.0,41.9,103.3,4.2,29.6,Frota,20.46,588.42,1814.42,0.18,18.89,6299.4
126,Audi,Q4 e-tron,2021,Europa,Caminhonete,54.5,88.3,286.0,11.0,5.2,366,18.1,56493.0,72.2,158.7,4.6,13.7,Comercial,8.76,971.14,400.0,0.18,20.09,14802.9
127,Audi,e-tron,2023,América do Sul,SUV,28.3,85.9,148.0,7.4,4.2,155,15.9,8092.0,51.7,100.4,4.1,6.5,Pessoal,1.06,481.0,1475.15,0.18,12.15,10946.68
128,Hyundai,Ioniq 5,2022,Europa,SUV,70.2,91.6,421.0,7.4,10.7,291,17.3,6734.0,43.8,98.8,5.4,33.0,Comercial,1.32,242.47,1635.55,0.15,13.85,25307.15
